,gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays
120,1,1,1,1,10,3,1,1,2,21,12,0,50,1,1,1
121,1,1,1,1,10,3,1,1,2,0,4,8,30,2,2,2
122,2,1,1,1,10,2,1,1,1,66,90,55,12,1,1,2
123,2,2,2,1,10,2,1,1,1,70,98,7,5,1,1,1
124,1,1,1,1,10,3,1,1,1,0,6,4,15,1,2,1
125,1,1,1,1,10,2,1,1,1,12,30,0,17,2,1,2
126,2,8,8,1,10,3,1,1,1,2,9,7,55,1,1,1
127,1,1,1,1,10,2,1,1,1,55,33,6,9,2,2,2
128,1,1,1,1,10,3,1,1,1,12,10,20,16,2,2,1
129,1,1,1,1,10,2,1,1,1,70,90,2,2,1,1,1
130,2,1,1,1,10,3,1,1,1,7,9,5,30,2,2,2
131,1,6,6,1,10,3,1,1,1,80,42,20,50,1,1,1
132,1,1,1,1,10,3,1,2,1,0,3,10,3,2,2,2
133,1,1,1,1,10,1,1,2,1,12,60,0,70,1,1,2
134,1,1,1,2,2,1,6,2,1,80,80,15,70,1,1,1
135,2,3,3,2,2,1,6,2,2,70,80,95,70,1,1,1
136,2,9,5,3,8,1,6,2,2,70,80,95,70,1,1,1
137,2,9,5,3,8,1,6,1,2,60,80,50,40,2,2,1
138,2,6,3,2,2,1,6,1,2,100,80,95,90,2,2,1
139,1,6,5,2,2,1,6,1,2,100,85,85,70,2,2,1
140,1,10,9,2,2,1,6,1,1,10,60,5,20,1,2,2
141,1,10,9,2,2,1,6,2,1,19,65,50,10,2,2,2
142,1,10,9,2,2,1,6,2,1,10,75,55,11,1,1,1
143,1,1,1,2,2,1,6,2,1,80,90,55,19,1,1,1
144,1,1,1,2,2,1,6,2,1,10,10,15,19,2,2,2
145,1,10,4,2,2,1,6,2,1,70,75,55,11,1,2,1
146,2,2,2,2,2,1,6,2,2,100,75,50,70,1,1,1
147,2,2,2,2,2,1,6,2,1,10,79,30,30,2,2,1
148,2,6,6,2,2,1,6,2,1,60,55,30,40,2,2,1
149,2,6,2,2,2,1,6,2,2,100,75,50,70,1,2,1
150,1,4,4,3,8,1,6,2,1,80,80,51,59,1,1,1
151,1,4,5,3,8,1,4,2,1,23,63,71,89,1,1,1
152,2,4,5,3,8,2,4,2,1,100,91,98,40,1,2,1
153,1,4,5,3,8,2,7,2,1,10,51,40,40,2,2,2
154,1,4,5,3,8,2,5,2,1,70,50,33,41,2,2,2
155,1,4,5,3,8,2,2,2,1,70,58,73,91,1,2,1
156,2,10,5,3,8,2,8,2,1,70,50,30,49,1,1,1
157,1,10,9,3,8,2,4,2,1,70,50,33,40,2,1,1
158,1,10,1,2,2,2,4,2,1,22,51,48,10,2,2,2
159,2,1,1,2,2,2,4,2,1,62,68,48,80,1,1,1
160,2,6,6,2,2,2,4,2,2,82,89,58,50,1,1,1
161,1,6,6,2,2,2,4,2,2,72,80,58,66,2,2,1
162,2,6,6,1,10,2,8,2,2,70,82,3,73,2,2,1
163,2,6,5,1,10,2,8,2,2,60,82,93,43,2,2,2
164,1,6,6,1,10,2,8,2,2,55,72,83,14,1,1,2
165,2,11,10,1,10,2,8,2,2,72,65,73,66,1,1,1
166,1,1,1,1,10,2,8,2,2,51,82,53,43,2,2,1
167,1,10,9,1,10,2,8,2,2,80,92,83,43,1,1,1
168,1,1,1,1,10,2,8,2,2,60,52,23,33,1,1,1
169,1,1,1,1,10,2,8,2,2,30,12,29,23,2,2,1
170,1,1,1,1,10,2,8,2,1,40,62,83,33,1,1,1
171,1,1,1,1,10,2,8,2,2,60,52,23,33,2,1,1
172,1,8,8,1,10,2,8,2,2,20,22,53,13,2,1,2
173,1,12,11,1,10,2,8,2,2,20,52,23,33,1,1,2
174,2,6,6,1,10,2,8,2,1,50,62,73,43,1,2,2
175,1,8,8,1,10,2,8,2,1,10,2,13,53,2,2,2
176,1,10,9,1,10,2,8,2,2,60,52,23,33,1,2,1
177,2,5,5,1,10,2,8,2,2,15,52,83,11,1,2,1
178,2,2,2,1,10,2,8,2,2,80,42,33,13,1,2,1
179,1,2,2,1,10,2,8,2,2,40,51,20,33,2,2,1
180,2,4,4,1,10,2,8,2,1,60,70,63,93,1,2,1
181,1,6,6,1,10,2,8,2,1,50,62,13,33,2,2,2
182,1,1,1,2,3,1,3,2,2,85,75,62,53,1,2,1
183,2,2,2,2,3,1,3,2,1,25,15,32,53,2,2,1
184,1,2,2,2,3,1,3,2,2,10,35,30,13,2,2,2
185,1,2,6,2,3,1,3,2,2,87,65,82,33,1,1,1
186,1,1,1,2,3,1,3,2,2,85,15,22,53,1,1,1
187,2,1,1,2,3,1,3,2,1,80,71,52,51,1,1,1
188,1,1,1,2,3,1,3,2,2,75,71,72,53,1,1,1
189,2,1,1,2,3,1,3,2,1,85,66,12,23,2,2,1
190,1,1,1,2,3,1,3,2,1,23,25,32,53,2,2,1
191,1,1,1,2,3,1,3,2,1,15,25,37,13,1,1,2
192,1,1,1,2,3,1,3,2,2,95,91,62,53,1,1,1
193,1,11,10,2,3,1,3,2,2,81,75,62,53,2,2,1
194,1,11,10,2,3,1,3,2,2,53,75,72,23,2,2,1
195,1,1,1,2,3,1,3,2,1,15,43,42,33,1,1,1
196,1,1,1,2,3,1,3,2,2,92,65,62,53,1,1,1
197,1,1,1,2,3,1,3,2,2,83,75,62,53,2,2,1
198,1,11,10,2,3,2,3,2,1,27,15,42,53,2,2,2
199,1,1,1,2,3,2,3,2,1,45,95,12,13,2,2,1
200,1,1,1,2,3,2,3,2,2,15,90,52,83,1,2,1
201,2,2,2,2,3,1,3,2,2,45,58,52,43,1,1,1
202,1,1,1,2,3,2,3,2,1,25,5,12,33,1,1,1
203,2,1,1,2,3,2,3,2,1,22,51,42,40,1,2,1
204,1,6,6,2,3,2,3,2,1,29,10,12,24,2,2,2
205,2,4,4,2,3,2,3,2,2,72,51,42,24,1,2,2
206,1,1,1,2,3,2,3,2,1,67,31,42,14,1,1,1
207,1,1,1,2,3,3,7,2,1,17,21,42,14,1,1,1
208,1,10,9,2,3,3,7,2,2,27,41,49,14,2,2,1
209,1,1,1,2,3,3,7,2,1,70,81,39,84,2,2,1
210,1,6,4,2,3,3,7,2,2,27,90,82,14,1,1,1
211,1,1,1,2,3,3,7,2,1,17,61,42,14,2,2,1
212,1,10,9,2,3,3,7,2,2,87,81,42,19,1,1,1
213,1,10,9,2,3,3,7,2,1,7,61,22,14,2,2,2
214,1,1,1,2,3,3,7,2,1,17,50,2,4,2,2,2
215,1,1,1,2,3,3,7,2,1,5,21,42,14,2,1,2
216,1,8,8,2,3,3,7,2,2,27,41,32,61,1,2,2
217,2,6,1,2,3,3,7,2,1,87,88,40,10,1,1,1
218,1,1,1,2,3,3,7,2,2,96,61,42,94,1,2,1
219,1,1,1,2,3,3,7,2,2,57,51,46,34,1,1,1
220,1,2,2,2,3,3,7,2,1,77,69,41,13,1,1,1
221,1,2,2,2,3,3,7,2,1,80,51,40,24,2,1,1
222,1,1,1,2,3,2,7,2,1,62,61,82,40,1,2,1
223,1,1,1,2,3,1,7,2,2,72,83,12,90,1,1,1
224,1,1,1,2,3,2,7,2,2,87,81,22,70,1,2,1
225,1,1,1,2,3,1,7,2,2,72,90,12,30,2,2,1
226,1,1,1,2,3,2,7,2,1,2,11,62,30,2,2,1
227,1,1,1,2,3,1,7,2,1,5,3,2,10,1,1,1
228,1,1,1,3,8,2,2,2,2,73,84,77,81,1,1,2
229,1,1,1,2,3,1,7,2,1,5,17,21,10,2,2,2
230,1,8,8,2,3,1,7,2,2,51,42,12,29,2,2,2
231,1,12,6,2,3,1,7,2,1,9,7,21,20,1,1,2
232,1,12,11,2,2,1,6,1,1,19,72,15,50,1,1,2
233,2,6,6,2,2,2,4,2,2,32,80,58,46,1,1,2
234,1,1,1,2,2,2,4,2,2,32,60,58,66,1,1,2
235,1,1,1,2,2,2,4,2,1,12,8,18,26,2,2,2
236,1,6,6,2,2,2,4,2,1,52,10,13,6,2,2,2
237,1,1,1,2,2,2,4,2,1,72,80,58,66,1,1,2
238,2,1,1,2,2,2,4,2,2,72,80,58,66,1,1,2
239,1,3,3,2,2,2,4,2,2,92,80,88,76,1,1,1
240,1,1,1,2,2,2,4,2,2,72,80,98,96,1,2,1
241,1,3,3,2,2,2,4,2,1,72,80,58,86,1,1,1
242,1,1,1,2,2,2,4,2,1,22,20,18,6,2,2,2
243,1,3,1,2,2,2,4,2,1,12,20,38,46,2,2,2
244,1,1,1,2,2,2,1,2,2,70,92,83,85,1,2,1
245,2,1,1,2,4,1,1,2,1,50,40,52,66,1,2,1
246,2,1,1,2,4,1,4,2,1,80,94,62,77,1,1,1
247,2,1,1,2,4,1,2,2,1,87,48,82,96,2,2,2
248,2,1,1,2,4,1,6,2,1,70,40,2,16,2,2,2
249,1,1,1,1,1,1,1,2,1,65,86,62,40,2,1,2
250,1,1,1,1,1,1,2,2,1,15,6,32,40,1,1,1
251,1,3,3,1,1,1,5,2,2,19,74,32,17,2,1,2
252,2,1,1,1,1,1,4,2,1,69,76,82,94,2,2,1
253,1,1,1,1,1,1,3,2,1,39,26,12,44,2,2,2
254,1,1,1,1,1,1,5,2,1,59,97,42,70,1,1,1
255,1,1,1,1,1,1,9,2,1,10,17,12,40,1,1,1
256,2,1,1,1,1,1,9,2,2,80,87,72,60,2,1,1
257,2,1,1,1,1,1,9,2,1,70,99,66,65,2,1,1
258,2,1,1,1,1,1,9,2,1,80,97,86,95,1,1,1
259,1,1,1,1,1,1,5,2,2,69,34,12,17,2,2,2
260,1,1,1,1,1,1,9,2,1,10,17,12,14,2,2,2
261,1,1,1,1,1,1,9,2,1,61,97,82,64,1,2,2
262,2,1,1,1,1,1,9,2,2,21,27,52,34,1,1,2
263,1,3,3,1,1,1,2,2,2,49,94,42,7,2,2,2
264,2,6,6,2,4,1,5,1,2,70,64,42,32,2,2,1
265,2,6,6,2,4,1,5,2,2,79,84,82,37,2,2,1
266,1,6,6,2,4,1,5,1,1,19,80,12,17,1,1,2
267,1,6,6,2,4,1,5,2,1,11,70,32,29,1,1,2
268,1,6,6,2,4,1,5,1,1,10,8,10,10,1,2,2
269,1,6,6,2,4,1,5,2,1,18,28,40,20,1,2,2
270,2,6,6,2,4,1,5,1,2,90,84,52,30,2,1,1
271,2,6,6,2,4,1,5,2,2,92,81,32,36,2,1,1
272,1,6,6,2,4,1,5,1,1,42,21,2,16,2,2,1
273,1,6,6,2,4,1,5,2,1,22,20,6,26,2,2,1
274,2,2,2,2,4,1,5,1,2,95,82,82,70,1,1,1
275,2,2,2,2,4,1,5,2,2,90,62,80,60,1,1,1
276,1,13,6,2,4,1,5,1,2,72,21,22,26,1,1,1
277,1,13,6,2,4,1,5,2,2,92,31,42,27,1,1,1
278,1,13,6,2,4,1,5,1,2,82,31,52,25,2,1,1
279,1,13,6,2,4,1,5,2,2,72,41,46,27,2,1,1
280,1,14,12,2,4,1,5,1,2,74,71,56,37,2,1,1
281,1,14,12,2,4,1,5,2,2,74,60,56,37,2,1,1
282,2,6,6,2,4,1,5,1,2,95,94,72,80,2,1,1
283,2,6,6,2,4,1,5,2,2,97,87,82,86,2,1,1
284,1,6,6,2,4,1,5,1,1,40,38,32,36,2,2,2
285,1,6,6,2,4,1,5,2,1,41,39,35,39,1,2,2
286,2,6,6,2,4,1,5,1,2,51,79,85,89,1,1,1
287,2,6,6,2,4,1,5,2,2,81,79,91,85,1,1,1
288,1,13,6,2,4,1,5,1,2,71,70,65,69,1,1,1
289,1,13,6,2,4,1,5,2,2,75,71,76,80,1,1,1
290,2,6,6,1,1,1,4,1,1,49,36,32,44,2,2,2
291,2,6,6,1,1,1,4,2,1,42,24,12,24,2,2,2
292,2,13,13,1,1,1,4,1,2,90,86,82,74,1,1,1
293,2,13,13,1,1,1,4,2,2,62,64,72,84,1,1,1
294,1,14,12,1,1,1,4,1,1,90,86,82,74,1,1,2
295,1,14,12,1,1,1,4,2,1,62,64,72,84,1,1,2
296,2,6,6,1,1,1,4,1,2,98,87,86,84,2,1,1
297,2,6,6,1,1,1,4,2,2,72,74,82,89,2,1,1
298,1,6,6,1,1,1,4,1,1,18,17,26,34,2,1,2
299,1,6,6,1,1,1,4,2,1,32,14,32,29,2,1,2
300,1,6,6,1,1,1,4,1,1,10,12,20,13,2,2,2
301,1,6,6,1,1,1,4,2,1,22,34,15,9,2,2,2
302,2,6,6,1,1,2,4,1,2,11,20,21,23,2,2,1
303,2,6,6,1,1,2,4,2,2,12,44,25,39,2,2,1
304,2,6,6,1,1,2,4,1,1,15,50,24,43,1,2,1
305,2,6,6,1,1,2,4,2,1,32,44,29,89,1,2,1
306,1,6,6,1,1,2,4,1,2,65,59,74,83,1,1,1
307,1,6,6,1,1,2,4,2,2,72,64,59,89,1,1,1
308,1,13,6,1,1,2,4,1,2,95,57,74,89,1,1,2
309,1,13,6,1,1,2,4,2,2,82,84,79,79,1,1,2
310,1,6,6,1,1,2,4,1,1,25,29,34,33,2,1,2
311,1,6,6,1,1,2,4,2,1,42,34,29,39,2,1,2
312,2,6,6,1,1,2,4,1,2,55,79,44,43,1,1,1
313,2,6,6,1,1,2,4,2,2,62,64,69,49,1,1,1
314,2,6,2,1,1,2,4,1,2,78,88,74,83,1,1,1
315,2,6,2,1,1,2,4,2,2,72,84,89,89,1,1,1
316,1,6,6,1,10,1,8,1,2,60,92,83,23,1,1,1
317,1,6,6,1,10,1,8,2,2,50,90,83,13,1,1,1
318,2,6,6,1,10,1,8,1,2,60,97,13,3,1,1,1
319,2,6,6,1,10,1,8,2,2,50,95,23,10,1,1,1
320,2,6,6,1,10,1,8,1,2,60,87,23,11,1,1,2
321,2,6,6,1,10,1,8,2,2,50,80,20,15,1,1,2
322,1,6,6,1,10,1,8,1,1,10,15,10,21,2,2,2
323,1,6,6,1,10,1,8,2,1,30,10,20,5,2,2,2
324,1,12,11,1,10,1,8,1,1,24,35,18,31,2,2,1
325,1,12,11,1,10,1,8,2,1,27,20,33,35,2,2,1
326,1,6,6,1,10,1,8,1,1,10,15,10,21,2,2,2
327,1,6,6,1,10,1,8,2,1,30,10,20,5,2,2,2
328,2,6,13,1,10,1,8,1,2,80,77,63,83,1,1,1
329,2,6,13,1,10,1,8,2,2,75,85,73,80,1,1,1
330,1,6,6,1,10,1,8,1,1,40,7,50,41,2,1,2
331,1,6,6,1,10,1,8,2,1,35,2,29,33,2,1,2
332,2,6,6,1,10,1,8,1,2,10,90,30,21,2,1,1
333,2,6,6,1,10,1,8,2,2,25,80,29,23,2,1,1
334,1,15,14,1,10,1,8,1,2,10,8,9,3,2,1,2
335,1,15,14,1,10,1,8,2,2,15,7,12,7,2,1,2
336,2,13,6,1,10,1,8,1,2,70,90,20,21,2,1,1
337,2,13,6,1,10,1,8,2,2,75,80,15,20,2,1,1
338,2,13,6,1,10,2,8,1,1,78,98,10,11,2,1,1
339,2,13,6,1,10,2,8,2,1,79,89,11,14,2,1,1
340,2,14,12,1,10,2,8,1,1,16,90,15,11,2,1,1
341,2,14,12,1,10,2,8,2,1,17,80,13,10,2,1,1
342,1,6,6,1,10,2,8,1,2,40,87,50,41,2,2,1
343,1,6,6,1,10,2,8,2,2,35,92,29,33,2,2,1
344,2,6,6,1,10,2,8,1,2,14,97,15,14,2,1,1
345,2,6,6,1,10,2,8,1,2,13,82,20,30,2,1,1
346,2,6,6,1,10,2,8,2,2,24,97,15,14,2,1,1
347,2,6,6,1,10,2,8,2,2,23,82,20,30,2,1,1
348,1,15,14,1,10,2,8,1,2,20,3,9,3,2,1,2
349,1,15,14,1,10,2,8,2,2,15,4,12,7,2,1,2
350,1,3,3,1,10,2,8,1,2,5,13,6,6,2,1,2
351,1,3,3,1,10,2,8,2,2,7,9,11,10,2,1,2
352,2,6,6,1,10,2,8,1,2,10,94,40,11,1,1,1
353,2,6,6,1,10,2,8,2,2,25,89,21,13,1,1,1
354,1,6,6,1,10,2,8,1,2,30,98,42,21,1,1,1
355,1,6,6,1,10,2,8,2,2,35,97,41,23,1,1,1
356,1,6,6,1,10,2,8,1,1,32,88,32,25,1,1,1
357,1,6,6,1,10,2,8,2,1,25,87,21,27,1,1,1
358,2,2,2,1,10,2,8,1,2,72,98,52,15,1,1,1
359,2,2,2,1,10,2,8,2,2,75,90,51,17,1,1,1
360,1,6,6,1,10,1,3,1,1,20,88,31,28,1,1,2
361,1,6,6,1,10,1,3,2,1,10,98,41,38,1,1,2
362,1,13,6,1,10,1,3,1,1,90,98,41,38,1,1,1
363,1,13,6,1,10,1,3,2,1,80,88,51,39,1,1,1
364,1,14,12,1,10,1,3,1,1,80,95,21,28,1,1,1
365,1,14,12,1,10,1,3,2,1,78,70,31,29,1,1,1
366,1,6,6,1,10,1,3,1,1,10,18,71,38,1,1,2
367,1,6,6,1,10,1,3,2,1,10,58,51,48,1,1,2
368,2,13,6,1,10,1,3,1,2,98,88,60,31,2,1,1
369,2,13,6,1,10,1,3,2,2,75,81,51,34,2,1,1
370,1,6,6,1,10,1,3,1,1,10,17,50,21,2,2,1
371,1,6,6,1,10,1,3,2,1,35,2,29,23,2,2,1
372,2,6,6,1,10,1,3,1,1,10,20,22,97,2,2,2
373,2,6,6,1,10,1,3,2,1,5,9,19,98,2,2,2
374,1,6,6,1,10,2,3,1,1,10,10,40,51,2,2,2
375,1,6,6,1,10,2,3,2,1,35,2,29,23,2,2,2
376,1,6,6,1,10,2,3,1,2,20,90,50,61,1,2,2
377,1,6,6,1,10,2,3,2,2,32,82,59,63,1,2,2
378,1,6,6,1,10,2,3,1,1,10,30,50,91,1,2,2
379,1,6,6,1,10,2,3,2,1,12,22,59,83,1,2,2
380,2,6,6,1,10,2,3,1,1,11,20,20,98,2,2,2
381,2,6,6,1,10,2,3,2,1,10,12,29,93,2,2,2
382,1,14,12,1,10,2,3,1,2,69,82,20,28,1,1,1
383,1,14,12,1,10,2,3,2,2,70,83,29,33,1,1,1
384,2,14,12,1,10,2,3,1,2,89,92,40,28,1,1,1
385,2,14,12,1,10,2,3,2,2,79,93,49,23,1,1,1
386,1,6,6,1,10,2,3,1,2,15,90,21,97,1,1,1
387,1,6,6,1,10,2,3,2,2,20,77,31,88,1,1,1
388,1,6,4,1,10,2,3,1,2,4,10,11,7,2,1,2
389,1,6,4,1,10,2,3,2,2,5,0,1,8,2,1,2
390,2,6,6,2,2,1,10,1,2,88,81,50,10,1,1,2
391,2,6,6,2,2,1,10,2,2,90,88,54,12,1,1,2
392,2,14,12,2,2,1,10,1,2,86,98,50,20,1,1,1
393,2,14,12,2,2,1,10,2,2,90,90,57,22,1,1,1
394,1,6,13,2,2,1,10,1,2,78,91,50,40,1,1,1
395,1,6,13,2,2,1,10,2,2,70,98,54,72,1,1,1
396,1,6,6,2,2,1,10,1,1,80,80,46,61,1,2,1
397,1,6,6,2,2,1,10,2,1,85,82,59,63,1,2,1
398,1,13,13,2,2,1,10,1,1,88,90,86,81,1,1,1
399,1,13,13,2,2,1,10,2,1,89,92,89,83,1,1,1
400,1,6,6,2,2,1,10,1,1,39,71,40,26,2,1,2
401,1,6,6,2,2,1,10,2,1,35,80,34,22,2,1,2
402,1,6,6,2,2,1,10,1,1,76,81,80,86,2,1,1
403,1,6,6,2,2,1,10,2,1,65,89,64,82,2,1,1
404,2,12,11,2,2,1,10,1,2,96,95,70,70,1,1,1
